1	15
2	6
3	33
4	19
5	23
6	36
7	42
8	27
9	2
10	4
11	34
12	31
13	17
14	2
15	25
16	6
17	13
18	21
19	9
20	51
21	50
22	7
23	3
24	32
25	31
26	124
27	13
28	21
29	23
30	47
31	165
32	32
33	52
34	21
35	9
36	26
37	16
38	263
39	24
40	155
41	194
42	422
43	72
44	18
45	530
46	21
47	30
48	22
49	28
50	435
51	26
52	14
53	11
54	12
55	124
56	20
57	29
58	44
59	383
60	17
61	16
62	16
63	12
64	3
65	14
66	11
67	12
68	11
69	169
70	9
71	10
72	10
73	8
74	15
75	80
76	121
77	12
78	2
79	11
80	9
81	13
82	10
83	9
84	10
85	10
86	13
87	15
88	17
89	12
90	10
91	2
92	14
